	Ano	CasaID	ID_partida	PlacarCasa	PlacarVisitante	Resultado	Rodada	VisitanteID	abrev_clube_casa	abrev_clube_fora
237	2016	264	201393	0.0	2.0	Visitante	26	275	COR	PAL
241	2017	264	211282	3.0	2.0		32	275	COR	PAL
245	2014	294	180238	2.0	0.0	Casa	36	275	CFC	PAL
249	2015	294	190230	2.0	1.0	Casa	18	275	CFC	PAL
253	2016	294	201344	2.0	2.0	Empate	8	275	CFC	PAL
257	2017	294	211334	1.0	0.0		5	275	CFC	PAL
261	2014	283	180233	1.0	1.0	Empate	30	275	CRU	PAL
265	2015	283	190217	2.0	1.0	Casa	17	275	CRU	PAL
269	2016	283	201392	2.0	1.0	Casa	11	275	CRU	PAL
273	2017	283	211473	3.0	1.0		12	275	CRU	PAL
277	2014	287	179939	0.0	1.0	Visitante	5	275	VIT	PAL
281	2016	287	201598	1.0	2.0	Visitante	38	275	VIT	PAL
285	2017	287	211266	3.0	1.0		33	275	VIT	PAL
289	2014	284	180026	0.0	0.0	Empate	9	275	GRE	PAL
293	2015	284	190127	1.0	0.0	Casa	8	275	GRE	PAL
297	2016	284	201351	0.0	0.0	Empate	24	275	GRE	PAL
301	2017	284	211325	1.0	3.0		30	275	GRE	PAL
305	2014	316	180009	3.0	1.0	Casa	25	275	FIG	PAL
309	2015	316	190109	2.0	1.0	Casa	6	275	FIG	PAL
313	2016	316	201503	1.0	2.0	Visitante	31	275	FIG	PAL
317	2014	290	179973	6.0	0.0	Casa	23	275	GOI	PAL
319	2015	290	190272	1.0	0.0	Casa	22	275	GOI	PAL
321	2015	267	190196	1.0	4.0	Visitante	15	275	VAS	PAL
323	2017	267	211520	1.0	1.0		20	275	VAS	PAL
325	2015	314	190360	1.0	3.0	Visitante	31	275	AVA	PAL
327	2017	314	211228	2.0	1.0		36	275	AVA	PAL
329	2015	303	190156	0.0	2.0	Visitante	11	275	PON	PAL
333	2016	303	201244	2.0	1.0	Casa	2	275	PON	PAL
337	2017	303	211427	1.0	2.0		10	275	PON	PAL
341	2015	317	190072	0.0	0.0	Empate	2	275	JEC	PAL
343	2016	327	201468	0.0	2.0	Visitante	29	275	AME	PAL
345	2016	344	201441	2.0	3.0	Visitante	28	275	SCZ	PAL
347	2017	373	211367	1.0	3.0		28	275	ACG	PAL
349	2014	262	179916	1.0	0.0	Casa	21	264	FLA	COR
353	2015	262	190177	0.0	3.0	Visitante	13	264	FLA	COR
357	2016	262	201513	2.0	2.0	Empate	32	264	FLA	COR
361	2017	262	211220	3.0	0.0		36	264	FLA	COR
365	2014	266	180170	5.0	2.0	Casa	37	264	FLU	COR
369	2015	266	190075	0.0	0.0	Empate	3	264	FLU	COR
373	2016	266	201334	1.0	0.0	Casa	8	264	FLU	COR
377	2017	266	211559	0.0	1.0		16	264	FLU	COR
381	2014	276	179913	1.0	1.0	Empate	4	264	SAO	COR
385	2015	276	190213	1.0	1.0	Empate	17	264	SAO	COR
389	2016	276	201558	4.0	0.0	Casa	34	264	SAO	COR
393	2017	276	211432	1.0	1.0		25	264	SAO	COR
397	2014	277	180086	0.0	1.0	Visitante	14	264	SAN	COR
401	2015	277	190124	1.0	0.0	Casa	8	264	SAN	COR
405	2016	277	201347	2.0	1.0	Casa	24	264	SAN	COR
409	2017	277	211461	2.0	0.0		23	264	SAN	COR
413	2014	293	180001	1.0	0.0	Casa	25	264	CAP	COR
417	2015	293	190361	1.0	4.0	Visitante	31	264	CAP	COR
421	2016	293	201534	2.0	0.0	Casa	18	264	CAP	COR
425	2017	293	211264	0.0	1.0		33	264	CAP	COR
429	2014	282	179877	0.0	0.0	Empate	1	264	CAM	COR
433	2015	282	190379	0.0	3.0	Visitante	33	264	CAM	COR
437	2016	282	201377	2.0	1.0	Casa	10	264	CAM	COR
441	2017	282	211553	0.0	2.0		18	264	CAM	COR
445	2014	265	180198	1.0	2.0	Visitante	34	264	BAH	COR
447	2017	265	211366	2.0	0.0		28	264	BAH	COR
449	2014	285	180252	1.0	2.0	Visitante	29	264	INT	COR
453	2015	285	190308	2.0	1.0	Casa	26	264	INT	COR
457	2016	285	201512	0.0	1.0	Visitante	17	264	INT	COR
461	2014	288	180176	0.0	0.0	Empate	19	264	CRI	COR
463	2014	315	179908	0.0	1.0	Visitante	3	264	CHA	COR
467	2015	315	190263	1.0	3.0	Visitante	21	264	CHA	COR
471	2016	315	201460	0.0	2.0	Visitante	14	264	CHA	COR
475	2017	315	211528	0.0	0.0		20	264	CHA	COR
479	2014	263	180013	1.0	0.0	Casa	28	264	BOT	COR
483	2016	263	201426	2.0	0.0	Casa	28	264	BOT	COR
487	2017	263	211319	2.0	1.0		30	264	BOT	COR
493	2014	292	179971	1.0	4.0	Visitante	7	264	SPT	COR
497	2015	292	190422	2.0	0.0	Casa	37	264	SPT	COR
501	2016	292	201265	0.0	2.0	Visitante	4	264	SPT	COR
505	2017	292	211205	1.0	0.0		38	264	SPT	COR
507	2014	275	180146	1.0	1.0	Empate	31	264	PAL	COR
511	2015	275	190275	3.0	3.0	Empate	23	264	PAL	COR
515	2016	275	201317	1.0	0.0	Casa	7	264	PAL	COR
519	2017	275	211491	0.0	2.0		13	264	PAL	COR
523	2014	294	180071	0.0	0.0	Empate	13	264	CFC	COR
527	2015	294	190200	1.0	1.0	Empate	15	264	CFC	COR
531	2016	294	201376	1.0	1.0	Empate	25	264	CFC	COR
535	2017	294	211394	0.0	0.0		8	264	CFC	COR
539	2014	283	180079	0.0	1.0	Visitante	27	264	CRU	COR
543	2015	283	190058	0.0	1.0	Visitante	1	264	CRU	COR
547	2016	283	201602	3.0	2.0	Casa	38	264	CRU	COR
551	2017	283	211413	1.0	1.0		26	264	CRU	COR
555	2014	287	180049	0.0	0.0	Empate	11	264	VIT	COR
559	2016	287	201236	3.0	2.0	Casa	2	264	VIT	COR
563	2017	287	211276	0.0	1.0		2	264	VIT	COR
567	2014	284	180132	2.0	1.0	Casa	17	264	GRE	COR
571	2015	284	190097	3.0	1.0	Casa	5	264	GRE	COR
575	2016	284	201281	3.0	0.0	Casa	20	264	GRE	COR
579	2017	284	211425	0.0	1.0		10	264	GRE	COR
583	2014	316	180124	1.0	0.0	Casa	24	264	FIG	COR
587	2015	316	190330	1.0	3.0	Visitante	28	264	FIG	COR
591	2016	316	201574	1.0	1.0	Empate	35	264	FIG	COR
595	2014	290	180220	0.0	1.0	Visitante	35	264	GOI	COR
597	2015	290	190162	0.0	0.0	Empate	11	264	GOI	COR
599	2015	267	190397	1.0	1.0	Empate	35	264	VAS	COR
601	2017	267	211330	2.0	5.0		5	264	VAS	COR
603	2015	314	190239	1.0	2.0	Visitante	19	264	AVA	COR
605	2017	314	211548	0.0	0.0		15	264	AVA	COR
607	2015	303	190336	2.0	2.0	Empate	29	264	PON	COR
611	2016	303	201318	2.0	0.0	Casa	22	264	PON	COR
615	2017	303	211307	1.0	0.0		31	264	PON	COR
619	2015	317	190112	0.0	1.0	Visitante	6	264	JEC	COR
621	2016	327	201418	0.0	2.0	Visitante	12	264	AME	COR
623	2016	344	201486	2.0	4.0	Visitante	30	264	SCZ	COR
625	2017	373	211297	0.0	1.0		3	264	ACG	COR
627	2014	262	179927	0.0	2.0	Visitante	5	276	FLA	SAO
631	2015	262	190247	2.0	1.0	Casa	20	276	FLA	SAO
635	2016	262	201354	2.0	2.0	Empate	9	276	FLA	SAO
639	2017	262	211440	2.0	0.0		11	276	FLA	SAO
643	2014	266	179948	5.0	2.0	Casa	6	276	FLU	SAO
647	2015	266	190346	2.0	0.0	Casa	30	276	FLU	SAO
651	2016	266	201489	1.0	2.0	Visitante	31	276	FLU	SAO
655	2017	266	211339	3.0	1.0		29	276	FLU	SAO
659	2014	277	180234	0.0	1.0	Visitante	36	276	SAN	SAO
663	2015	277	190285	3.0	0.0	Casa	24	276	SAN	SAO
667	2016	277	201390	3.0	0.0	Casa	11	276	SAN	SAO
671	2017	277	211471	3.0	2.0		12	276	SAN	SAO
675	2014	293	180002	2.0	2.0	Empate	8	276	CAP	SAO
679	2015	293	190151	2.0	1.0	Casa	10	276	CAP	SAO
683	2016	293	201401	1.0	0.0	Casa	26	276	CAP	SAO
687	2017	293	211404	1.0	0.0		9	276	CAP	SAO
691	2014	282	180106	1.0	0.0	Casa	28	276	CAM	SAO
695	2015	282	190208	3.0	1.0	Casa	16	276	CAM	SAO
699	2016	282	201592	1.0	2.0	Visitante	37	276	CAM	SAO
703	2017	282	211373	1.0	0.0		27	276	CAM	SAO
707	2014	265	180039	0.0	2.0	Visitante	10	276	BAH	SAO
709	2017	265	211536	2.0	1.0		19	276	BAH	SAO
711	2014	285	180121	0.0	1.0	Visitante	16	276	INT	SAO
